name,id,uri,popularity,genres,followers
AKMU,6OwKE9Ez6ALxpTaKcT5ayv,spotify:artist:6OwKE9Ez6ALxpTaKcT5ayv,61,k-pop,1707793
I.O.I,6RKnXXyprPjhBdCvL802Ku,spotify:artist:6RKnXXyprPjhBdCvL802Ku,46,"k-pop, k-pop girl group, k-pop reality show",1277816
BIBI,6UbmqUEgjLA6jAcXwbM1Z9,spotify:artist:6UbmqUEgjLA6jAcXwbM1Z9,66,"k-pop, korean r&b",1554694
PRISTIN,6VAphrHp0Oc88qg9BDaH9D,spotify:artist:6VAphrHp0Oc88qg9BDaH9D,33,"k-pop, k-pop girl group",577574
4Minute,6cdC1cwqh3eJAXaxXJt2jv,spotify:artist:6cdC1cwqh3eJAXaxXJt2jv,48,"k-pop, k-pop girl group",1083654
MY FIRST STORY,6cutt8thPFUICMfxaYerWd,spotify:artist:6cutt8thPFUICMfxaYerWd,64,"j-pop, j-rock, japanese post-hardcore",617031
SUPER JUNIOR,6gzXCdfYfFe5XKhPKkYqxV,spotify:artist:6gzXCdfYfFe5XKhPKkYqxV,58,"k-pop, k-pop boy group",2313473
GOT7,6nfDaffa50mKtEOwR8g4df,spotify:artist:6nfDaffa50mKtEOwR8g4df,59,"k-pop, k-pop boy group",6553871
Hatsune Miku,6pNgnvzBa6Bthsv8SrZJYl,spotify:artist:6pNgnvzBa6Bthsv8SrZJYl,67,,1728254
TAEYANG,6udveWUgX4vu75FF0DTrXV,spotify:artist:6udveWUgX4vu75FF0DTrXV,63,"k-pop, korean r&b",1433797
HYOLYN,78sJswwVn4P8aEhkF4K6fQ,spotify:artist:78sJswwVn4P8aEhkF4K6fQ,56,"k-pop, korean r&b",802477
Maiko Fujita,78umxbPFlNNgIpEztuClkP,spotify:artist:78umxbPFlNNgIpEztuClkP,38,anime,65859
GARNiDELiA,7MIbdLkqD1qQE35LSISIM6,spotify:artist:7MIbdLkqD1qQE35LSISIM6,45,"anime, anime rock, j-pixie",283061
NCT 127,7f4ignuCJhLXfZ9giKT7rH,spotify:artist:7f4ignuCJhLXfZ9giKT7rH,70,"k-pop, k-pop boy group",7473408
SPYAIR,7gRg6C2qgQ1F01k3sgyEVt,spotify:artist:7gRg6C2qgQ1F01k3sgyEVt,60,"anime, anime rock, j-pop, j-poprock, j-rock",593376
TWICE,7n2Ycct7Beij7Dj7meI4X0,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,79,"k-pop, k-pop girl group, pop",20670023
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,80,"k-pop, k-pop boy group",12062764
Reol,7rpKUJ0AnklJ8q9nIPVSpZ,spotify:artist:7rpKUJ0AnklJ8q9nIPVSpZ,56,"anime rock, japanese electropop",514548
Brave Girls,7t5H3uQv0Zw6cQUnSTF5BB,spotify:artist:7t5H3uQv0Zw6cQUnSTF5BB,47,"k-pop, k-pop girl group",363258
JEON SOMI,7zYj9S9SdIunYCfSm7vzAR,spotify:artist:7zYj9S9SdIunYCfSm7vzAR,63,k-pop,2786999
